Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos trimestre anterior,KPI
2021,3,Formosa,33.962033540684324,33.23,2.22
2021,4,Formosa,34.4545746388443,33.96,1.45
2022,1,Formosa,34.955686995751336,34.45,1.45
2022,2,Formosa,43.42,34.96,24.21
2022,3,Formosa,43.76,43.42,0.78
2022,4,Formosa,39.41,43.76,-9.94
2023,1,Formosa,38.79,39.41,-1.57
2023,2,Formosa,38.32,38.79,-1.21
2023,3,Formosa,38.86,38.32,1.41
2023,4,Formosa,39.23,38.86,0.95
2014,1,Jujuy,18.41535244687765,0.0,0.0
2014,2,Jujuy,18.706060999413573,18.42,1.58
2014,3,Jujuy,18.368534215570367,18.71,-1.8
2014,4,Jujuy,19.59941818052116,18.37,6.7
2015,1,Jujuy,19.68971363262363,19.6,0.46
2015,2,Jujuy,20.287219077594944,19.69,3.03
2015,3,Jujuy,21.2703333470887,20.29,4.85
2015,4,Jujuy,21.47147379391073,21.27,0.95
2016,1,Jujuy,21.41001128856396,21.47,-0.29
2016,2,Jujuy,21.888281043576683,21.41,2.23
2016,3,Jujuy,22.605154265256864,21.89,3.28
2016,4,Jujuy,22.651387008241425,22.61,0.2
2017,1,Jujuy,22.756985962232346,22.65,0.47
2017,2,Jujuy,22.403415894624064,22.76,-1.55
2017,3,Jujuy,22.64536299508256,22.4,1.08
2017,4,Jujuy,22.742083716267025,22.65,0.43
2018,1,Jujuy,23.121260875677535,22.74,1.67
2018,2,Jujuy,23.432202729854474,23.12,1.34
2018,3,Jujuy,23.263700137195517,23.43,-0.72
2018,4,Jujuy,46.53226639132679,23.26,100.02
2019,1,Jujuy,46.40843874036665,46.53,-0.27
2019,2,Jujuy,44.511922790626045,46.41,-4.09
2019,3,Jujuy,44.322486842913605,44.51,-0.43
2019,4,Jujuy,45.37754633175065,44.32,2.38
2020,1,Jujuy,46.670230639987786,45.38,2.85
2020,2,Jujuy,47.887810227872784,46.67,2.61
2020,3,Jujuy,54.04441923820905,47.89,12.86
2020,4,Jujuy,53.45659123390888,54.04,-1.09
2021,1,Jujuy,55.63244789620541,53.46,4.07
2021,2,Jujuy,56.182157011467694,55.63,0.99
2021,3,Jujuy,55.6892647441935,56.18,-0.88
2021,4,Jujuy,56.921070514870486,55.69,2.21
2022,1,Jujuy,58.06462866426784,56.92,2.01
2022,2,Jujuy,57.32,58.06,-1.28
2022,3,Jujuy,58.91,57.32,2.77
2022,4,Jujuy,58.46,58.91,-0.76
2023,1,Jujuy,58.2,58.46,-0.44
2023,2,Jujuy,57.78,58.2,-0.72
2023,3,Jujuy,57.61,57.78,-0.29
2023,4,Jujuy,57.78,57.61,0.3
2014,1,La Pampa,48.42532103828204,0.0,0.0
2014,2,La Pampa,49.70759616034458,48.43,2.65
2014,3,La Pampa,55.78120173850417,49.71,12.22
2014,4,La Pampa,51.273133452228585,55.78,-8.08
2015,1,La Pampa,55.50803232733774,51.27,8.26
2015,2,La Pampa,56.70766522530004,55.51,2.16
2015,3,La Pampa,57.96395975091518,56.71,2.22
2015,4,La Pampa,58.75633720012275,57.96,1.37
2016,1,La Pampa,57.84086865504526,58.76,-1.56
2016,2,La Pampa,60.43686025737927,57.84,4.49
2016,3,La Pampa,61.73178543650905,60.44,2.14
2016,4,La Pampa,63.016182768654026,61.73,2.08
2017,1,La Pampa,62.66928104575163,63.02,-0.55
2017,2,La Pampa,63.49352648099681,62.67,1.32
2017,3,La Pampa,69.13993701142644,63.49,8.89
2017,4,La Pampa,71.04976106378558,69.14,2.76
2018,1,La Pampa,71.75163692275797,71.05,0.99
2018,2,La Pampa,71.04033787278055,71.75,-0.99
2018,3,La Pampa,71.75023651844843,71.04,1.0
2018,4,La Pampa,73.49404828314209,71.75,2.43
2019,1,La Pampa,76.35457433780647,73.49,3.89
2019,2,La Pampa,77.08313750288404,76.35,0.95
2019,3,La Pampa,77.45269423291748,77.08,0.48
2019,4,La Pampa,76.92418969170417,77.45,-0.68
